Type,Metric,Description,Granularity
user,audience_city,The cities of the IG User's followers. Does not include current day's data.,lifetime
user,audience_country,The countries of the IG User's followers. Does not include current day's data.,lifetime
user,audience_gender_age,The gender and age distribution of the IG User's followers. Does not include current day's data.,lifetime
user,audience_locale,The locales by country codes of the IG User's followers. Does not include current day's data.,lifetime
user,email_contacts,Total number of taps on the email link in the IG User's profile.,day
user,follower_count,Total number of new followers each day within the specified range.,day
user,get_directions_clicks,Total number of taps on the directions link in the IG User's profile.,day
user,impressions,Total number of times the IG User's IG Media objects (i.e. posts, stories and promotions) have been viewed. Includes ad activity generated through the API, Facebook ads interfaces, and the Promote feature. Does not include profile views.,day
user,online_followers,Total number of the IG User's followers who were online during the specified range.,lifetime
user,phone_call_clicks,Total number of taps on the call link in the IG User's profile.,day
user,profile_views,Total number of users who have viewed the IG User's profile within the specified period.,day
user,reach,Total number of unique users who have viewed at least one of the IG User's IG Media. Repeat views and views across different IG Media owned by the IG User by the same user are only counted as a single view. Includes ad activity generated through the API, Facebook ads interfaces, and the Promote feature.,day
user,text_message_clicks,Total number of taps on the text message link in the IG User's profile.,day
user,website_clicks,Total number of taps on the website link in the IG User's profile.,day
media,engagement,Total number of likes and IG Comments on the IG Media object.,
media,impressions,Total number of times the IG Media object has been seen.,
media,reach,Total number of unique Instagram accounts that have seen the IG Media object.,
media,saved,Total number of unique Instagram accounts that have saved the IG Media object.,
media,video_views,(Video IG Media objects only) Total number of times the video has been seen. Returns 0 for videos in an album IG Media object.,
album,carousel_album_engagement,Total number of likes and IG Comments on the album IG Media object.,
album,carousel_album_impressions,Total number of times the album IG Media object has been seen.,
album,carousel_album_reach,Total number of unique Instagram accounts that have seen the album IG Media object.,
album,carousel_album_saved,Total number of unique Instagram accounts that have saved the album IG Media object.,
album,carousel_album_video_views,(Video IG Media objects only) Always returns 0. Use carousel_album_reach and carousel_album_impressions instead.,
story,exits,Number of times someone exited the story IG Media object.,
story,impressions,Total number of times the story IG Media object has been seen.,
story,reach,Total number of unique Instagram accounts that have seen the story IG Media object.,
story,replies,Total number of replies (IG Comments) on the story IG Media object.,
story,taps_forward,Total number of taps to see this story IG Media object's next photo or video.,
story,taps_back,Total number of taps to see this story IG Media object's previous photo or video.,
